ID,Title,Form-factor,Category of BCI,,Type of Media,Description,Keywords,Year,Prediction,BCI forecast,Utopia/Dystopia - tech-wise,Level of invasiveness,Reality factor,Neurafictionality,Neuroptimism,Name of BCI,Author/Directed by,Distributed by,Production Company,Date
1,Push,intenrla power,"brain washing, control of the user, manipulation, robot/object control",,Movie,"Memories manipulation, object control ","brainwash, manipulation, military",2009,2271,263,"dystopia, utopia",Non-invasive,0.049429658,0.080246914,1.62345679,N/A,Paul McGuigan,Summit Entertainment,Icon Productions,5-Jul-09
2,Den-noh Coil,glasses,"XR, communication, reality",,Anime,Using brain activity to interact with the virtual world — a function hidden inside the hardware of AR visors and eyeglasses.,XR,2007,2021,15,"dystopia, utopia",Non-invasive,1,0.091463415,0.091463415,N/A,"Masaru Yasukawa, Mitsuo Iso",NHK-E,Madhouse,5-Jul-07
3,Come True,helmet,"dreams, recording brain activity",,Movie,Monitoring subjects’ dreams using a brain scanning device that converts brainwaves into images.,sleep,2020,2021,2,"dystopia, utopia",Non-invasive,1,0.013245033,0.013245033,N/A,Anthony Scott Burns,IFC Midnight,"Angel Entertainment, Copperheart Entertainment",5-Jul-20
4,Aruvu Rezuru: Kikaijikake no Y_seitachi,tank with water,consciousness transfer,,"Anime, Novel, manga","The human nervous system can be seamlessly integrated into external networks thanks to nanomachines
. People leave their bodies behind in water tanks while traversing through cyberspace. However, a crisis known as ""Early Rapture"" occurs where the system becomes overloaded, resulting in thousands of consciousnesses being lost in the network.",consciousness,2011,2271,261,"dystopia, utopia",Non-invasive,0.042145594,0.06875,1.63125,N/A,Y_ Yamaguchi,BOX-AiR,N/A,5-Jul-11
5,The Daedalus Encounter,brain,"manipulation, robot/object control",,game,"Hero’s brain
 grafted in a life support
 system on their spaceship after he was critically injured. It can interact with the world through a small remote-controlled flying probe, which is launched from the ship. In this new form, the hero possesses the limited ability to interact with his environment, his only way to communicate being through a yes/no interface and by emitting light pulses.",communication,1995,2271,277,"dystopia, utopia",Non-invasive,0.097472924,0.153409091,1.573863636,N/A,"Mark Giambruno, Scott Ewers","Lifelike Productions (3DO), Mechadeus (WINDOWS)",N/A,5-Jul-95
6,Orion’s Arm,N/A,communication,,game,Direct Neural Interfaces (DNIs) are used for operating almost any system within OA.,interfacing,2000,2121,122,utopia,N/A,0.180327869,0.128654971,0.713450292,Direct Neural Interfaces,Alan Kazlev,Orion's Arm Universe Project Inc.,N/A,5-Jul-00
7,Rifts,implant,physical enhancement,,"Novel, game",Microchips installed into one’s brain to force higher performance and psychic abilities at the expense of sanity. People who use microchips are called Crazies.,enhancement,1990,2041,52,dystopia,Invasive,0.615384615,0.17679558,0.287292818,N/A,Kevin Siembieda,Megaversal,N/A,5-Jul-90
8,Serial Experiments Lain,N/A,"XR, consciousness transfer, control of the user, manipulation, reading thoughts, reality, telepathy",,Anime,"Consciousness upload, erasing memories, communication",XR,1998,2271,274,"dystopia, utopia",Non-invasive,0.087591241,0.138728324,1.583815029,N/A,Ry_tar_ Nakamura,"Pioneer LDC, Tokyo TV",Pioneer LDC,5-Jul-98
9,Skysurfer Strike Force,brain,knowledge upload,,Anime,Attaching computer brain to one’s brain for increased intelligence.,"enhancement, knowledge",1995,2021,27,"dystopia, utopia",Non-invasive,1,0.153409091,0.153409091,N/A,Katsumi Minokuchi,Bohbot Entertainment,"Ashi Productions, Ruby-Spears Enterprises",5-Jul-95
10,Transhuman Space,software,brain transfer,,game,"People can ""upload
"" by recording the simulation
 of their brains on computer disks
. The emulated individual then becomes a ghost, an infomorph
 very easily confused with ""sapient artificial intelligence
"". However, this technology has several problems as the solely available ""brainpeeling""
 technique is fatal to the original biological lifeform being simulated, has a significant failure rate and the philosophical questions regarding personal identity
remain equivocal. Any infomorph, regardless of its origin, can be plugged into a ""cybershell"" (robotic or cybernetic
 body), or a biological body, or ""bioshell"". Or, the individual can illegally make multiple ""xoxes"", or copies of themselves, and scatter them throughout the system, exponentially increasing
 the odds that at least one of them will live for centuries more, if not forever.",upload,2002,2171,170,"dystopia, utopia",N/A,0.117647059,0.118343195,1.00591716,Brainpeeling,David L. Pulver,N/A,Steve Jackson Games,5-Jul-02
11,Serenity,N/A,"manipulation, telepathy",,Movie,Telepathic abilities as subliminal messaging to attack other people.,"manipulation, military",2005,2271,267,"dystopia, utopia",Non-invasive,0.063670412,0.102409639,1.608433735,N/A,Joss Whedon,Universal Pictures,"Barry Mendel Productions, Universal Pictures",5-Jul-05
12,Ringworld,"implant, tool",emotions,,Novel,"The tasp, a device that remotely stimulates the pleasure center of the brain; it temporarily incapacitates its target and is extremely psychologically addictive. If the subject cannot, for whatever reason, get access to the device, intense depression can result, often to the point of madness or suicide. To use a tasp on someone from hiding, relieving them of their anger or depression, is called ""making their day"".","addiction, pleasure",1970,2021,52,dystopia,"Invasive, Non-invasive",1,0.258706468,0.258706468,Tasp,Larry Niven,N/A,N/A,5-Jul-70
13,Mindkiller,implant,emotions,,Novel,"Wireheading is the act of directly triggering the brain's reward center
 by electrical stimulation of an inserted wire, for the purpose of 'short-circuiting' the brain's normal reward process and artificially inducing pleasure. Permanent wireheading is the constant use of which overrides desires for food and drink, used for suicide.",pleasure,1982,2021,40,dystopia,Invasive,1,0.211640212,0.211640212,Wireheading,Spider Robinson,N/A,N/A,5-Jul-82
14,Donovan’s Brain,brain,"consciousness transfer, control of the user, manipulation, telepathy",,Movie,Keep the brain alive in an electrified saline solution. After writing messages and exhibiting the personal traits of the person who the brain belonged to - the researcher believes that consciousness still survives.,consciousness,2022,2271,250,"dystopia, utopia",Non-invasive,0,0,1.677852349,N/A,Felix E. Feist,United Artists,Dowling Productions,5-Jul-22
15,Captain Future,brain,"linking, physical enhancement, robot/object control",,Novel,A brain in a vat that controls a robotic vehicle and non-human arms,robotic control,1940,2271,332,"dystopia, utopia",Non-invasive,0.246987952,0.354978355,1.437229437,N/A,Edmond Hamilton,N/A,N/A,5-Jul-40
16,Le Prince Bonaficio,brain,resting,,Novel,Scooping out brains with spoons and putting them in jars to promote ‘rest’.,wellbeing,1860,2271,412,"dystopia, utopia",Non-invasive,0.393203883,0.520900322,1.324758842,N/A,Louis Ulbach,N/A,N/A,"July 5, 1860"
