[id] ID,[title] TITLE,[date] DATE,[sem] Description,[cat] Form-factor,[cat] Category of BCI,[cat] Type of Media,[cat] Keywords,[quant] Date,[quant] Prediction,[quant] BCI forecast,[quant] Reality factor,[quant] Neurafictionality,[quant] Neuroptimism,[quant] Utopianism,[quant] Invasiveness,[cat] Author/Directed by,[cat] Distributed by,[cat] Production Company
1,Push,2009,"Memories manipulation, object control ",internal power,"brain washing, control of the user, manipulation, robot/object control",Movie,"brainwash, manipulation, military",2009,2271,263,0.04942966,0.08024691,0.25671098,0.5,0.25,Paul McGuigan,Summit Entertainment,Icon Productions
2,Den-noh Coil,2007,Using brain activity to interact with the virtual world — a function hidden inside the hardware of AR visors and eyeglasses.,glasses,"XR, communication, reality",Anime,XR,2007,2021,15,1,0.09146342,0.01247011,0.5,0.25,"Masaru Yasukawa, Mitsuo Iso",NHK-E,Madhouse
3,Come True,2020,Monitoring subjects’ dreams using a brain scanning device that converts brainwaves into images.,helmet,"dreams, recording brain activity",Movie,sleep,2020,2021,2,1,0.01324503,0,0.5,0.25,Anthony Scott Burns,IFC Midnight,"Angel Entertainment, Copperheart Entertainment"
4,Aruvu Rezuru: Kikaijikake no Y_seitachi,2011,"The human nervous system can be seamlessly integrated into external networks thanks to nanomachines
. People leave their bodies behind in water tanks while traversing through cyberspace. However, a crisis known as ""Early Rapture"" occurs where the system becomes overloaded, resulting in thousands of consciousnesses being lost in the network.",tank with water,consciousness transfer,"Anime, Novel, manga",consciousness,2011,2271,261,0.04214559,0.06875,0.25795343,0.5,0.25,Y_ Yamaguchi,BOX-AiR,N/A
5,The Daedalus Encounter,1995,"Hero’s brain
 grafted in a life support
 system on their spaceship after he was critically injured. It can interact with the world through a small remote-controlled flying probe, which is launched from the ship. In this new form, the hero possesses the limited ability to interact with his environment, his only way to communicate being through a yes/no interface and by emitting light pulses.",brain,"manipulation, robot/object control",game,communication,1995,2271,277,0.09747292,0.15340909,0.2488045,0.5,0.25,"Mark Giambruno, Scott Ewers","Lifelike Productions (3DO), Mechadeus (WINDOWS)",N/A
6,Orion’s Arm,2000,Direct Neural Interfaces (DNIs) are used for operating almost any system within OA.,N/A,communication,game,interfacing,2000,2121,122,0.18032787,0.12865497,0.11163152,1,N/A,Alan Kazlev,Orion's Arm Universe Project Inc.,N/A
7,Rifts,1990,Microchips installed into one’s brain to force higher performance and psychic abilities at the expense of sanity. People who use microchips are called Crazies.,implant,physical enhancement,"Novel, game",enhancement,1990,2041,52,0.61538462,0.17679558,0.04369057,0,0.75,Kevin Siembieda,Megaversal,N/A
8,Serial Experiments Lain,1998,"Consciousness upload, erasing memories, communication",N/A,"XR, consciousness transfer, control of the user, manipulation, reading thoughts, reality, telepathy",Anime,XR,1998,2271,274,0.08759124,0.13872832,0.25039102,0.5,0.25,Ry_tar_ Nakamura,"Pioneer LDC, Tokyo TV",Pioneer LDC
9,Skysurfer Strike Force,1995,Attaching computer brain to one’s brain for increased intelligence.,brain,knowledge upload,Anime,"enhancement, knowledge",1995,2021,27,1,0.15340909,0.02234591,0.5,0.25,Katsumi Minokuchi,Bohbot Entertainment,"Ashi Productions, Ruby-Spears Enterprises"
10,Transhuman Space,2002,"People can ""upload
"" by recording the simulation
 of their brains on computer disks
. The emulated individual then becomes a ghost, an infomorph
 very easily confused with ""sapient artificial intelligence
"". However, this technology has several problems as the solely available ""brainpeeling""
 technique is fatal to the original biological lifeform being simulated, has a significant failure rate and the philosophical questions regarding personal identity
remain equivocal. Any infomorph, regardless of its origin, can be plugged into a ""cybershell"" (robotic or cybernetic
 body), or a biological body, or ""bioshell"". Or, the individual can illegally make multiple ""xoxes"", or copies of themselves, and scatter them throughout the system, exponentially increasing
 the odds that at least one of them will live for centuries more, if not forever.",software,brain transfer,game,upload,2002,2171,170,0.11764706,0.1183432,0.15825859,0.5,N/A,David L. Pulver,N/A,Steve Jackson Games
11,Serenity,2005,Telepathic abilities as subliminal messaging to attack other people.,N/A,"manipulation, telepathy",Movie,"manipulation, military",2005,2271,267,0.06367041,0.10240964,0.25431591,0.5,0.25,Joss Whedon,Universal Pictures,"Barry Mendel Productions, Universal Pictures"
12,Ringworld,1970,"The tasp, a device that remotely stimulates the pleasure center of the brain; it temporarily incapacitates its target and is extremely psychologically addictive. If the subject cannot, for whatever reason, get access to the device, intense depression can result, often to the point of madness or suicide. To use a tasp on someone from hiding, relieving them of their anger or depression, is called ""making their day"".","implant, tool",emotions,Novel,"addiction, pleasure",1970,2021,52,1,0.25870647,0.03913314,0,0.5,Larry Niven,N/A,N/A
13,Mindkiller,1982,"Wireheading is the act of directly triggering the brain's reward center
 by electrical stimulation of an inserted wire, for the purpose of 'short-circuiting' the brain's normal reward process and artificially inducing pleasure. Permanent wireheading is the constant use of which overrides desires for food and drink, used for suicide.",implant,emotions,Novel,pleasure,1982,2021,40,1,0.21164021,0.03162952,0,0.75,Spider Robinson,N/A,N/A
14,Donovan’s Brain,2022,Keep the brain alive in an electrified saline solution. After writing messages and exhibiting the personal traits of the person who the brain belonged to - the researcher believes that consciousness still survives.,brain,"consciousness transfer, control of the user, manipulation, telepathy",Movie,consciousness,2022,2271,250,0,0,0.2653831,0.5,0.25,Felix E. Feist,United Artists,Dowling Productions
15,Captain Future,1940,A brain in a vat that controls a robotic vehicle and non-human arms,brain,"linking, physical enhancement, robot/object control",Novel,robotic control,1940,2271,332,0.24698795,0.35497836,0.22702134,0.5,0.25,Edmond Hamilton,N/A,N/A
16,Le Prince Bonaficio,1860,Scooping out brains with spoons and putting them in jars to promote ‘rest’.,brain,resting,Novel,wellbeing,1860,2271,412,0.39320388,0.52090032,0.20909051,0.5,0.25,Louis Ulbach,N/A,N/A
17,The Whisperer in the Darkness,1931,Taking a human’s brain and putting in a cylinder where it can live indefinitely,brain,brain transfer,Novel,brain transfer,1931,2271,341,0.26686217,0.37916667,0.22440737,0.5,0.25,H.P. Lovecraft,N/A,N/A
18,The Metal Giants,1926,"An artificial brain that completely mimicked a biological brain with all of its complex patterns of electrical activity that made it conscious. Furthermore, a concept of an artificial eye is also introduced, a machine with an artificial retina that could transmit electrical pulses to this brain and allow it to see.",brain,"brain transfer, control of the user",Novel,"brain transfer, manipulation",1926,2271,346,0.27745665,0.39183674,0.22303814,0.5,0.75,Edmond Hamilton,N/A,N/A
19,Frankenstein,1818,Using a disembodied brain to control another body by wiring it to the body,brain,"brain transfer, control of the user","Movie, Novel","brain transfer, manipulation",1818,2271,454,0.44933921,0.57790368,0.20293028,0.5,0.75,Mary Shelley,N/A,N/A
20,Star Trek: Strange New Worlds,2022,"A neural dampener
 or neural dampening device
 was a device worn on the head ,designed to reduce electrical
 activity in the brain.",helmet,brain washing,TV Series,brainwash,2022,2026,5,0,0,0.00323828,0,0.25,"Eugene Roddenberry, Jenny Lumet, Trevor Roth",Paramount+,"CBS Studios, H M R X Productions, Roddenberry Entertainment, Secret Hideout, Weed Road Pictures"
21,Star Trek: Strange New Worlds,2022,"Reversing katric transfer by applying ground Nivallan sea urchin (aquatic animal) paste to the foreheads
of two hosts who swiped bodies. The paste is chosen for its match to the natural electromagnetism
 of Vulcan skin. Then cortical stimulation is applied through a series of crystals placed in the paste, matching the original brain patterns of the host bodies.
","paste, stone",consciousness transfer,TV Series,"consciousness, mind-sharing",2022,2221,200,0,0,0.21188415,0.5,0.25,"Eugene Roddenberry, Jenny Lumet, Trevor Roth",Paramount+,"CBS Studios, H M R X Productions, Roddenberry Entertainment, Secret Hideout, Weed Road Pictures"
